Tinh,Average Income (VND)
Hà Nội,"6,205.45"
Vĩnh Phúc,"4,289.92"
Bắc Ninh,"5,439.20"
Quảng Ninh,"4,539.47"
Hải Dương,"4,388.45"
Hải Phòng,"5,199.40"
Hưng Yên,"4,042.63"
Thái Bình,"4,208.78"
Hà Nam,"4,028.70"
Nam Định,"4,096.22"
Ninh Bình,"3,904.38"
Hà Giang,"1,834.55"
Cao Bằng,"2,184.71"
Bắc Kạn,"2,191.84"
Tuyên Quang,"2,681.01"
Lào Cai,"2,427.04"
Yên Bái,"2,522.46"
Thái Nguyên,"3,805.66"
Lạng Sơn,"2,296.51"
Bắc Giang,"3,929.68"
Phú Thọ,"3,331.09"
Điện Biên,"1,737.12"
Lai Châu,"1,904.81"
Sơn La,"1,745.01"
Hoà Bình,"2,707.25"
Thanh Hoá,"3,509.70"
Nghệ An,"3,004.08"
Hà Tĩnh,"3,230.14"
Quảng Bình,"3,149.90"
Quảng Trị,"2,853.39"
Thừa Thiên -Huế,"3,212.37"
Đà Nẵng,"5,283.63"
Quảng Nam,"3,554.99"
Quảng Ngãi,"3,158.59"
Bình Định,"3,441.21"
Phú Yên,"3,223.61"
Khánh Hoà,"3,152.68"
Ninh Thuận,"2,917.97"
Bình Thuận,"3,981.14"
Tây Nguyên,"2,814.47"
Kon Tum,"2,375.25"
Gia Lai,"2,314.42"
Đắk Lắk,"2,715.18"
Đăk Nông,"2,808.54"
Lâm Đồng,"3,741.92"
Bình Phước,"4,038.69"
Tây Ninh,"4,246.05"
Bình Dương,"7,033.77"
Đồng Nai,"5,621.32"
Bà Rịa-Vũng Tàu,"4,610.35"
TP. Hồ Chí Minh,"6,536.88"
Long An,"4,231.85"
Tiền Giang,"4,534.30"
Bến Tre,"3,544.07"
Trà Vinh,"3,436.71"
Vĩnh Long,"3,201.26"
Đồng Tháp,"3,965.11"
An Giang,"3,338.19"
Kiên Giang,"4,368.54"
Cần Thơ,"5,031.09"
Hậu Giang,"3,974.29"
Sóc Trăng,"3,635.02"
Bạc Liêu,"3,338.48"
Cà Mau,"3,034.40"
