STT,Cụm Thi,Họ Tên,SBD,Ngày sinh,Giới tính,Toán (D1),Ngữ văn (D2),Vật lí (D3),Hóa học (D4),Sinh học (D5),KHTN (D6),Lịch sử (D7),Địa lí (D8),GDCD (D9),KHXH (D10),Ngoại ngữ (D11),D12
1,,,60000001,,,9,6.75,8,7.75,6.75,,,,,,6,
1,,,60000002,,,7.4,8,,,,,7.75,8,8.5,,6,
1,,,60000003,,,6.8,6,,,,,8.75,8,9.5,,4.6,
1,,,60000004,,,4.2,6.5,,,,,4.5,6.5,8,,4.4,
1,,,60000005,,,7.2,6.75,6.25,6,4.75,,,,,,6.6,
1,,,60000006,,,5.8,6.25,,,,,2.75,6.5,8.25,,3.6,
1,,,60000007,,,8.2,7.5,8,8.25,6,,,,,,8,
1,,,60000008,,,8,8.25,,,,,6.5,7.75,9.5,,5.2,
1,,,60000009,,,8,8,,,,,8.5,9.25,10,,6.8,
1,,,60000010,,,7.6,6.75,7.25,8.5,6.75,,,,,,4.6,
1,,,60000011,,,8.8,8,,,,,7.75,8.25,9.25,,5,
1,,,60000012,,,5.4,7,,,,,5.25,8.5,9.75,,4.4,
1,,,60000013,,,8.6,8,5,7.5,8,,,,,,5.6,
1,,,60000014,,,7.6,7.75,,,,,5.5,8.5,9,,5.4,
1,,,60000015,,,7,8,,,,,4.75,7.75,9.25,,7.6,
1,,,60000016,,,5.6,6.75,,,,,6.75,8.5,10,,6.4,
1,,,60000017,,,6.8,6.25,6.75,6.5,6,,,,,,5.4,
1,,,60000018,,,6.4,6,,,,,4.5,7.5,8.5,,5.8,
1,,,60000019,,,7,8,,,,,5,7,9,,5.4,
1,,,60000020,,,6.8,6.75,,,,,3.75,6.75,9.75,,4.2,
1,,,60000021,,,7.6,7,,,,,4.25,7.25,9.75,,6.8,
1,,,60000022,,,4.2,6.75,,,,,3.75,6.5,8.75,,2.6,
1,,,60000023,,,7.6,8,,,,,6,9,9.5,,7.8,
1,,,60000024,,,6.4,6.5,,,,,4.75,8,9.25,,5.2,
1,,,60000025,,,7.8,7.75,7.25,8,4.5,,,,,,8.6,
1,,,60000026,,,7.8,6.5,6.5,7.75,7.75,,,,,,4.8,
1,,,60000027,,,4.2,6.75,,,,,2.75,5.5,6.75,,2.8,
1,,,60000028,,,7.8,8,7.5,7.25,7.75,,,,,,8.6,
1,,,60000029,,,7,6,,,,,6,6.75,8.5,,8.2,
1,,,60000030,,,8.8,7,8,8.25,6.75,,,,,,9.2,
1,,,60000031,,,7.2,5.75,7.25,7.75,5.5,,,,,,9.4,
1,,,60000032,,,7,7.25,5.5,6.25,5.75,,,,,,8.2,
1,,,60000033,,,6.6,7.25,,,,,5.5,6.75,9.25,,8.2,
1,,,60000034,,,7.6,8.5,,,,,6.75,8.25,8.5,,9.2,
1,,,60000035,,,6.2,7,,,,,5,8.25,8.5,,5,
1,,,60000036,,,6.6,7,,,,,6.75,8.75,9,,3.4,
1,,,60000037,,,6.6,6.25,,,,,5,7.75,9.5,,3.4,
1,,,60000038,,,7.8,7.25,,,,,5.25,8,9.5,,4.8,
1,,,60000039,,,8.4,6.5,7.25,6.5,5.75,,,,,,7.4,
1,,,60000040,,,4.2,8.75,,,,,7.5,8.75,8.75,,6,
1,,,60000041,,,6.6,7.25,,,,,4.5,6.75,9,,3.2,
1,,,60000042,,,9,7.58,8.75,8,7.25,,,,,,9,
1,,,60000043,,,7.8,6.25,5.25,8.5,8.75,,,,,,6.4,
1,,,60000044,,,4.8,4.58,,,,,4.75,7,,,,
1,,,60000045,,,8.8,5.25,8.5,8.5,5.75,,,,,,7.6,
1,,,60000046,,,7.6,6.5,6.5,7,6.25,,,,,,4,
1,,,60000047,,,5.2,6,,,,,7,7.75,9.75,,6.6,
1,,,60000048,,,6.2,7.5,,,,,3.5,5.75,8.5,,7,
1,,,60000049,,,6,7,,,,,5.25,7.5,9,,3.2,
1,,,60000050,,,7.4,8,,,,,8.75,8.5,10,,8.6,
1,,,60000051,,,8.4,8.25,,,,,6,7.75,9.5,,8.6,
1,,,60000052,,,8.2,7.5,8,7.75,5.75,,,,,,5,
1,,,60000053,,,6.6,8,,,,,5,7.5,9.25,,5,
1,,,60000054,,,7.8,7.5,,,,,5.75,8.75,8.5,,8.4,
1,,,60000055,,,5.4,6.5,,,,,5.5,6.5,7.5,,4,
1,,,60000056,,,5.8,6,,,,,5,8,9.25,,4.6,
1,,,60000057,,,2.8,6,,,,,4.5,5.75,,,,
1,,,60000058,,,8.8,6.25,5.5,7.75,8.25,,,,,,7.8,
1,,,60000059,,,8.6,6.75,7.75,3.75,4.5,,,,,,9.2,
1,,,60000060,,,,5,,,,,6.75,8.75,,,,
1,,,60000061,,,7.8,7.5,,,,,5,7.25,8.5,,7.2,
1,,,60000062,,,7.6,8,,,,,5.75,7.75,8.75,,8.2,
1,,,60000063,,,5.2,7,,,,,4.5,7,8.75,,2.8,
1,,,60000064,,,6.4,6.25,,,,,4.5,7.5,9.5,,3.4,
1,,,60000065,,,4.2,6.5,,,,,4,7,8.25,,4.4,
1,,,60000066,,,8.2,5.75,8,7.5,4.5,,,,,,5.6,
1,,,60000067,,,5.2,6.75,,,,,6,7.25,8.75,,4.4,
1,,,60000068,,,5.6,6.25,,,,,4,6.75,9.25,,3.8,
1,,,60000069,,,8.6,7.25,,,,,6.25,7.5,9.25,,9.6,
1,,,60000070,,,7.4,7,6.75,5.25,4.75,,,,,,9.4,
1,,,60000071,,,5.8,5.75,,,,,2.5,5.25,9.5,,2.6,
1,,,60000072,,,6.8,8.25,5.5,7.25,6.5,,,,,,7.6,
1,,,60000073,,,7.4,5.5,5,7,6.75,,,,,,5.2,
1,,,60000074,,,7,7.75,7,5.25,4,,,,,,5,
1,,,60000075,,,5.4,5.75,,,,,2.75,5.75,7,,4.8,
1,,,60000076,,,3.2,5.5,,,,,2.5,5.75,5.25,,4,
1,,,60000077,,,7.6,7.5,,,,,6,6.25,10,,6.8,
1,,,60000078,,,6.4,6.25,,,,,6.25,7.5,8.25,,5.4,
1,,,60000079,,,7,7.5,,,,,5,7.5,9.5,,4.2,
1,,,60000080,,,7.6,8,6.75,6.5,4.5,,,,,,7.2,
1,,,60000081,,,6.2,7,,,,,5.5,8.25,9.5,,4,
1,,,60000082,,,6.4,8.25,,,,,9.5,9.25,9.75,,5,
1,,,60000083,,,6.8,3.75,,,,,3.75,6,,,,
1,,,60000084,,,6.6,6.25,,,,,4.25,7,7.75,,4,
1,,,60000085,,,8.8,7.5,6.5,8.25,9.25,,,,,,9,
1,,,60000086,,,,7.25,,,,,6.75,7.5,,,,
1,,,60000087,,,7,7.5,,,,,4.25,7,9,,6.2,
1,,,60000088,,,7,7,,,,,6,8.25,8.75,,6.2,
1,,,60000089,,,6.4,7.5,,,,,7.25,8.25,9.5,,7.6,
1,,,60000090,,,7.6,6.75,,,,,1.5,7,7,,6.2,
1,,,60000091,,,7.6,7.5,7.25,8.25,4.5,,,,,,5.6,
1,,,60000092,,,,6,,,,,5.75,8.5,,,,
1,,,60000093,,,8.4,7.75,6.5,6.75,5.75,,,,,,7.8,
1,,,60000094,,,4,5.75,3.75,2.25,2.75,,,,,,5.2,
1,,,60000095,,,4.4,7.5,,,,,3,8,9,,6.2,
1,,,60000096,,,7.2,6.75,,,,,5,8.25,10,,5.6,
1,,,60000097,,,7.4,7.25,6,3.75,5,,,,,,6.4,
1,,,60000098,,,5.8,7,,,,,3.75,6,8.75,,3.6,
1,,,60000099,,,6.8,8,,,,,4.75,7.75,9.75,,6.8,
1,,,60000100,,,7.6,6.75,4.75,5,4.25,,,,,,8.8,
1,,,60000101,,,6.8,7.5,2,3.5,4.75,,,,,,4.6,
1,,,60000102,,,6.4,8,,,,,4,6.5,9,,7,
1,,,60000103,,,8.2,6.25,6.25,6,4.5,,,,,,5.4,
1,,,60000104,,,7.8,7.5,,,,,7.25,8.75,9.75,,9,
1,,,60000105,,,7.2,7.17,,,,,4.75,7.5,10,,8.2,
1,,,60000106,,,7.6,6.5,7,6.5,6.5,,,,,,6.2,
1,,,60000107,,,7.6,8.5,,,,,8,8.5,9.5,,8.4,
1,,,60000108,,,5.6,7,,,,,5.25,5.75,8,,6,
1,,,60000109,,,7.4,8,7,7.25,7.5,,,,,,8,
1,,,60000110,,,7.6,8,6.75,5.5,6.5,,,,,,9.4,
1,,,60000111,,,7.4,7.75,,,,,5.5,8,8.25,,7.8,
1,,,60000112,,,6,7.5,4.5,4.25,5.75,,,,,,3.6,
1,,,60000113,,,6.2,7,3.75,3,,,,,,,,
1,,,60000114,,,6.2,6.75,,,,,5.5,7.75,9,,5.2,
1,,,60000115,,,8.2,,,8.5,7.75,,,,,,,
1,,,60000116,,,4.4,5.75,,,,,8.25,6.5,8.5,,5.6,
1,,,60000117,,,5,6.25,,,,,2.5,6.25,7.25,,3.8,
1,,,60000118,,,7.6,6.5,5.5,7.25,5.5,,,,,,7,
1,,,60000119,,,6.2,7.75,,,,,8.25,8,9.25,,9.4,
1,,,60000120,,,6.2,8.75,,,,,8.75,7.75,10,,6.4,
1,,,60000121,,,7.8,5,4.5,5,5.75,,,,,,3.4,
1,,,60000122,,,6.2,7,,,,,4.75,7.25,9.25,,7.4,
1,,,60000123,,,8.6,7.75,7,6.5,7.75,,,,,,3.6,
1,,,60000124,,,5.8,6,,,,,5,7.75,8,,5.6,
1,,,60000125,,,6.8,7.75,,,,,7.5,8.25,9.5,,5,
1,,,60000126,,,3.6,6.5,,,,,3.75,4.75,6.5,,4,
1,,,60000127,,,5.2,5.75,,,,,3.75,8,9.5,,3.8,
1,,,60000128,,,4.2,4.5,,,,,5.25,6.5,8,,7.6,
1,,,60000129,,,4.6,3.5,,,,,3.25,5.5,,,,
1,,,60000130,,,6.6,7,,,,,3.25,7.25,9.75,,6.8,
1,,,60000131,,,7.4,7.5,5.25,7.5,5,,,,,,8.8,
1,,,60000132,,,6.2,7.25,,,,,4.25,7,,,,
1,,,60000133,,,7,8,,,,,6.75,8,8.5,,4.4,
1,,,60000134,,,8.8,8.5,6.25,6.5,6,,,,,,8.2,
1,,,60000135,,,5.8,6.75,,,,,7,8.25,8.25,,5,
1,,,60000136,,,7,5,,,,,5.25,7.75,9.5,,6,
1,,,60000137,,,7.8,8,5.75,6.5,6.25,,,,,,5.6,
1,,,60000138,,,8,6.75,6.5,3.5,3,,,,,,8.6,
1,,,60000139,,,3.6,6.25,,,,,2.75,5.75,,,,
